name,teacher,school,student_num
智能车制作：底盘结构与调试,杨珏,北京科技大学,7242 人
计算思维导论,唐培和 徐奕奕,广西科技大学,7160 人
多媒体技术,李晶 涂卫平 等,武汉大学,7151 人
万物互联,杜秀娟,青海师范大学,6834 人
素描与体验——原理与形式研究,张元稼 刘沛 等,西安美术学院,6764 人
嵌入式系统理论与技术,胡威 施青松,武汉科技大学,6665 人
计算机辅助设计,方利国,华南理工大学,6481 人
操作系统(RISC-V),向勇 陈渝,清华大学,6471 人
“做中学”Java程序设计,郑哲,宁波城市职业技术学院,6314 人
操作系统原理,田丽华,西安交通大学,6267 人
数据结构与算法,刘馨月 于红 等,大连理工大学,6073 人
程序设计技术（基于C）-基础,刘慧君 王茜 等,重庆大学,5901 人
Web安全实践,郭燕,中国科学技术大学,5824 人
液晶显示技术,王丹 姚日晖 等,华南理工大学,5820 人
单片机原理及应用,李璋 姚静 等,湖北大学,5774 人
数据结构,胡平,安徽工程大学,5662 人
C语言程序设计,唐宁九 段华琼 等,四川大学锦城学院,5503 人
数据化企业,刘士军 潘丽,山东大学,5442 人
互联网体系结构,孟宁 刘贵学,中国科学技术大学,5435 人
软件工程,张晓龙 刘茂福 等,武汉科技大学,5434 人
操作系统,张伟,东北大学,5432 人
数据结构与算法设计,董傲霜,东北大学,5327 人
计算机网络,郑瑞娟 王琳 等,河南科技大学,5245 人
计算机专业实用技能导引—从基础技能到工程实战,清华计算机系科协团队,清华大学计算机系学生科协,5092 人
自然语言处理,赵海,上海交通大学,5041 人
计算方法,张晓丹 郑连存 等,北京科技大学,4892 人
计算机网络,刘家芬,西南财经大学,4673 人
智能控制导论,刘辉 王彬 等,昆明理工大学,4618 人
高级语言程序设计,祁文青 程细才 等,湖北理工学院,4519 人
数据科学导论,于长青 陈雅蓉 等,西京学院,4421 人
学术论文写作（计算机科学）,王宇 杜宛宜 等,大连理工大学,4402 人
智能控制,黄从智,华北电力大学,4374 人
网络安全,曹家浩 郭润,清华大学,9084 人
文献检索与论文写作,武祥龙,西北工业大学,3511 人
多媒体技术及应用,郭芬 林育蓓 等,华南理工大学,3410 人
数据库技术应用,赵祯 刘刚 等,内蒙古电子信息职业技术学院,3280 人
语音信号数字处理,王晶,北京理工大学,3266 人
高级语言程序设计,张长海 陈娟 等,吉林大学,3112 人
编译技术,徐秀娟 贾棋 等,大连理工大学,3108 人
跟着案例循序渐进学习c,白妙青 王雪婴 等,山西大学,3101 人
计算机网络,侯睿 李艳红 等,中南民族大学,3041 人
计算机是如何实现智能的,马少平,清华大学,8747 人
创新思维与创新方法,崔立真 鹿旭东,山东大学,2994 人
C语言程序设计,龚本灿,三峡大学,2943 人
AutoCAD软件应用,徐秀娟 孙路 等,陕西国防工业职业技术学院,2941 人
网络空间安全技术,闫怀志,北京理工大学,2932 人
C Programming,丁海燕 胡盛,云南大学,2910 人
C/C++：从基础语法到优化策略,于仕琪,南方科技大学,2864 人
软件理论与工程,车海莺 高广宇,北京理工大学,2668 人
程序设计技术(基于C)-提高与应用,刘慧君 王茜 等,重庆大学,2630 人
人工智能,陈钒,天津财经大学,2617 人
Data Structures and Algorithm Design Part I,邓俊辉,清华大学,2469 人
数据库概论,张璇 包崇明 等,云南大学,2400 人
网络安全攻防入门：漏洞利用及渗透测试基础,刘哲理,南开大学,11217 人
网页设计与地图应用,李中元 梅新 等,湖北大学,2391 人
AI时代下，智慧图书馆该如何重构？,,,11836 人
虚幻引擎（UE4）技术基础,胡小强 石卉 等,江西泰豪动漫职业学院,2258 人
Code+程序设计大赛习题讲解,清华酒井算协,学堂在线,2251 人
计算未来云讲坛（2020）——清华大学计算机系前沿系列讲座,刘知远 易鑫,清华大学,2245 人
系统辨识,刘翠玲 赵峙尧,北京工商大学,2153 人
机器学习入门,周红 赵力衡 等,四川大学锦城学院,2120 人
软件测试与质量保证,周勇 朴勇,大连理工大学,2107 人
Python 交互式程序设计导论,张太红,新疆农业大学,2088 人
5G系统观：从改变生活到改变世界,张晨璐,vivo iQOO,2065 人
从入门到大神：疫情知识智能服务核心技术实践,张鹏 曾奥涵 等,智谱·AI,2039 人
Access程序设计基础,梁洁 张泽华 等,云南大学,2010 人
大学计算机基础,姚怡 劳眷 等,广西大学,1958 人
嵌入式系统及应用,王宜怀 张建,苏州大学,1947 人
资讯科技——大学计算机基础,刘小丽 许迅文 等,暨南大学,1895 人
C#程序设计,刘君瑞 姜学锋,西北工业大学,1880 人
计算机辅助设计：参数化造型设计及表达,罗会甫,北京理工大学,1876 人
全球股市下跌-加密数字货币是避险资产吗？,罗玫,清华大学,2497 人
数据结构与算法,秦俊平 赵志燕 等,内蒙古工业大学,1796 人
C++程序设计,魏英 姜学锋 等,西北工业大学,1787 人
计算思维与人工智能基础,毕利 杜方,宁夏大学,1766 人
程序设计提升指南：调试与测试的道与术-「疾风计划」导师专属直播【一年挑战计算机专业】,徐明星,学堂在线,11440 人
大数据管理与挖掘,邵景峰,西安工程大学,1749 人
物联网技术与应用,吕建新,西安思源学院,1748 人
大学计算机基础（艺术类）,史家银 杜文博 等,云南艺术学院,1743 人
数据结构,杨春花 刘国玲 等,齐鲁工业大学,1721 人
Computer Networks,王昊翔,华南理工大学,1707 人
闲话AI：自然语言理解难在哪儿？,刘知远,清华大学,7391 人
C程序设计,姜学锋 刘君瑞 等,西北工业大学,1702 人
从感知智能到认知智能：深度学习再思考,邓志东,清华大学,4974 人
计算机网络原理,李琳,青岛大学,1686 人
C语言程序设计精髓,苏小红 赵玲玲 等,哈尔滨工业大学,1682 人
Web前端开发,董明 何杰惠 等,陕西国防工业职业技术学院,1673 人
Combinatorics and Algorithms Design,马昱春 赵颖,清华大学,1631 人
计算机网络工程实践,桂学勤 钟良骥 等,湖北科技学院,1628 人
Data Structures and Algorithm Design Part II,邓俊辉,清华大学,1622 人
计算机组成原理与系统结构,李晨,西安交通大学,1550 人
计算机辅助飞行器综合设计,袁昌盛,西北工业大学,1528 人
数据结构与算法,黄晓鸣,北京交通大学,1525 人
云计算,宋亚奇,华北电力大学,1482 人
计算机技术基础（c语言）,康辉英 王冉 等,河北地质大学华信学院,1479 人
Python技术应用,屈毅 王雪侠 等,咸阳职业技术学院,1435 人
计算机网络技术,尹然然,安徽交通职业技术学院,1431 人
计算机辅助绘图——Solid Edge ST,李世芸,昆明理工大学,1431 人
数据结构与算法,石敏 焦润海 等,华北电力大学,1399 人
操作系统,李培峰 王红玲,苏州大学,1373 人
安卓手机软件拼图式开发App   Inventor,王杰,广东开放大学（广东理工职业学院）,1345 人
疫情防控，大数据分析大显身手,李国良,清华大学,1316 人
个人计算机主要硬件介绍,朱书琦,清华大学,1300 人
计算机组成原理,于瓅 廖正和 等,安徽理工大学,1211 人
网络操作系统（Linux）,池瑞楠,深圳职业技术学院,1196 人
C语言程序设计,赵楷 任疆红 等,新疆大学,1179 人
软件工程,唐云,成都理工大学,1150 人
贵系特奖学霸：科研小白入门指北,高天宇,清华大学,1145 人
工业互联网大讲堂,田野 严鹏飞,中国工业互联网研究院,1117 人
清华大数据应用实践：快速搭建基于数据的应用,刘英博,清华大学,4982 人
计算机图形学,孙劲光,辽宁工程技术大学,1102 人
WEB程序设计,文小森 秦效宏 等,西京学院,1084 人
喜迎清华大学109周年校庆-软件学院系列线上活动,杜平 尉迟坚 等,国家发展与改革委员会,1084 人
C语言程序设计,刘进锋,宁夏大学,1043 人
视觉无障碍智能交互,史元春,清华大学,1228 人
数据库原理,杨俊杰 刘忠艳 等,岭南师范学院,910 人
统计方法（SAS、SPSS和R统计软件应用）,周波,南京农业大学,883 人
Compilation Principle,刘刚 付岩 等,哈尔滨工程大学,854 人
深度迁移学习在NLP当中的应用和实践,苏海波,学堂在线,837 人
Database Technology and Programming,高裴裴 李敏 等,南开大学,812 人
Fundamentals of C Programming,汪芳 张秀伟 等,西北工业大学,797 人
MySQL Database Programming,付湘琼 赵晓侠 等,昆明理工大学,788 人
VR Experience and Panoramic Video Creation,冯欢,南开大学,764 人
计算机组织与结构,赖晓晨 王洁 等,大连理工大学,742 人
程序设计基础（C语言）,尹乾,北京师范大学,738 人
Linux系统应用基础,孙清闻,大连东软信息学院,714 人
不确定性时代的计算传播学研究,王成军 张伦 等,南京大学,732 人
计算机硬件基础,崔丽群,辽宁工程技术大学,678 人
计算机系统架构的新挑战,汪东升,清华大学,753 人
C++编程训练营,郑莉 李超 等,学堂在线,614 人
HTML5 Mobile Front-end Development Foundation,刘小华 曾建华,深圳职业技术学院,614 人
网络爬虫,张耸 张丹 等,咸阳职业技术学院,608 人
量子计算离我们还远吗？,应明生 孙晓明 等,清华大学,789 人
Introduction to Artificial Intelligence,王刚 李妍 等,南开大学,517 人
区块链和加密数字货币（随报随学认证班）,罗玫,清华大学,516 人
数字逻辑,刘军,合肥工业大学,510 人
深度学习在推荐系统中的应用与发展,王喆,清华大学,788 人
2020KDD顶会论文分享,任慧敏 李昂 等,美国伍斯特理工学院,1697 人
快手商业用户体验Insight,高小平,清华大学,488 人
自然语言处理训练营,刘知远,学堂在线,478 人
数据到决策的框架：三个机器学习任务、三次结构转换,蒋朦,美国圣母大学,463 人
机器学习训练营第5期,张敏,学堂在线,458 人
毕业季博硕论坛,刘知远 潘欣 等,清华大学,486 人
清华大学之“贵系”万花筒,刘潇 杨宗瀚 等,清华大学,802 人
AI肖像画大师：生成对抗网络驱动的多风格艺术肖像画创作,刘永进,清华大学,575 人
推荐系统中的用户理解：偏好、意图、行为与满意度,张敏,清华大学,503 人
南开大学信息安全微专业发布会,,,643 人
网络安全博弈之路,张超,清华大学,831 人
2020年公派出国留学政策及项目,国家留学基金委,清华大学,414 人
用户导向的音视频体验优化,马茗,清华大学,610 人
铸钢件铸造技术,邱葭菲 陈小红 等,浙江机电职业技术学院,380 人
疫情与5G,孙松林,北京邮电大学,377 人
基于数据驱动的网络技术应用,姜泽勋 焦立博 等,清华大学,556 人
知识图谱推理问答综述,史佳欣,清华大学,1140 人
法律智能,钟皓曦,清华大学,530 人
Introduction to C++: Problem Solving Using Computational Thinking,赵宏 郭蕴 等,南开大学,362 人
Software Engineering,张爽,东北大学,362 人
知识驱动：人才战略的未来,张鹏,清华大学,360 人
Java语言与面向对象程序设计,王素琴 周长玉 等,华北电力大学,358 人
