name,teacher,school,student_num
"Identity, Agency, Equality and Security in the Age of AI",Hae Chin Moon,梨花女子大学,11 人
AI TIME PhD：浙江大学专场一,,,58 人
AI TIME：顶会也有这么多知识？,,,61 人
理解自监督学习知识蒸馏和二值化网络,,,139 人
AI TIME 走进深圳大学城,,,48 人
AI TIME PhD 北航ACT实验室专场二,,,40 人
AI TIME：顶会也有这么多知识？,,,109 人
图神经网络及其自监督学习,,,91 人
AI TIME：你的KDD小课堂,,,59 人
AI TIME PhD ICLR专场四,,,69 人
基于结构化知识与非结构化知识的任务型对话系统,,,81 人
AI TIME:KDD2021-4,,,83 人
AI TIME PhD：浙江大学专场二,,,62 人
基于神经网络模型的开放领域对话系统研究,,,47 人
AI TIME PhD Debate-7：因果推理的应用与发展,,,165 人
AI TIME:KDD2021-5,,,89 人
多模态学习的机遇与挑战,,,54 人
AI TIME:KDD2021-6,,,188 人
弱监督问答中缓解有害推理方案影响的模型训练算法研究,,,93 人
AI TIME PhD：清华CoAI小组,,,38 人
AI TIME PhD ICML 2021 专场二,,,90 人
AI TIME PhD：ACL 专场三,,,62 人
AI TIME：ICML 2021-5,,,92 人
非自回归文本生成模型及其在风格迁移上的应用,,,34 人
AI TIME PhD：ACL2021-1,,,115 人
AI TIME PhD ICML 2021 专场一,,,91 人
人脑VS机器？AI时代经济决策的机遇与挑战？,,,56 人
AI TIME PhD ICLR专场六,,,63 人
AI TIME CVPR 专场二,,,139 人
AI TIME CVPR 专场一,,,49 人
AI TIME PhD 华南理工实验室专场二,,,27 人
AI TIME：ICML科普,,,14 人
对比学习与多阶段模型框架在文本摘要任务中的应用,,,99 人
AI TIME PhD 华南理工实验室专场一,,,51 人
AI TIME PhD ICLR专场二,,,36 人
AI TIME：顶会知识唠唠嗑,,,95 人
AI TIME CVPR 专场三,,,45 人
AI TIME：ACL 2021专场四,,,41 人
开放端故事生成评价指标的评测基准及长文本生成的连贯性建模,,,41 人
AI TIME PhD ICLR专场一,,,25 人
AI TIME ACL 预讲会,,,38 人
AI TIME：KDD 2021-2,,,50 人
AI TIME：ICML 2021-4,,,53 人
AI TIME PhD ICLR专场三,,,36 人
基于语义生成概率的无监督常识问答方法,,,43 人
AI TIME:KDD2021-3,,,43 人
AI TIME：基于动态期限的电动共享汽车实时车队管理,,,40 人
AI TIME：ICML 2021-6,,,14 人
AI TIME：ICML 2021-3,,,32 人
AI TIME CVPR 专场五,,,40 人
AI TIME:KDD2021-7,,,51 人
AI TIME：迈向更快更好的图学习——图表示学习算法增强框架,,,3 人
